NRA_Id,SSN,is_SSN_Temp,Tax_Treaty_Id,First_Name,Middle_Name,Last_Name,Gender,Birthdate,Passport_No,I_94_Status,Visa_Number,Visa_Type,Visa_Expiration_date,Nationality
1,123-45-6789,0,1,John,A,Doe,Male,1985-05-15,P1234567,Valid,V12345,J-1,2025-05-15,Canadian
2,234-56-7890,1,2,Priya,K,Sharma,Female,1990-08-10,P2345678,Valid,V23456,F-1,2026-08-10,Indian
3,345-67-8901,0,3,Wei,NULL,Zhang,Male,1992-09-21,P3456789,Valid,V34567,H-1B,2024-09-21,Chinese
4,456-78-9012,1,4,Hans,NULL,Muller,Male,1988-01-02,P4567890,Expired,V45678,O-1,2023-01-02,German
5,567-89-0123,0,5,Emily,R,Taylor,Female,1995-12-12,P5678901,Valid,V56789,L-1,2027-12-12,Australian
6,678-90-1234,0,1,Michael,L,Brown,Male,1990-03-05,P6789012,Valid,V67890,J-1,2025-03-05,Canadian
7,789-01-2345,1,2,Sunita,NULL,Patel,Female,1991-04-10,P7890123,Valid,V78901,F-1,2026-04-10,Indian
8,890-12-3456,0,3,Li,X,Wang,Male,1989-07-22,P8901234,Valid,V89012,H-1B,2024-07-22,Chinese
9,901-23-4567,1,4,Alex,B,Schmidt,Male,1987-11-13,P9012345,Valid,V91123,O-1,2023-11-13,German
10,012-34-5678,0,5,Olivia,NULL,Martinez,Female,1992-09-15,P0123456,Valid,V01134,L-1,2027-09-15,Australian
11,123-45-6780,1,1,David,J,O'Connor,Male,1990-02-18,P2345671,Valid,V84567,J-1,2025-02-18,Canadian
12,234-56-7891,0,2,Sophia,NULL,Li,Female,1995-04-20,P6789013,Valid,V75678,F-1,2026-04-20,Chinese
13,345-67-8902,0,NULL,Carlos,R,Garcia,Male,1994-12-10,P7890124,Valid,V96789,H-1B,2024-12-10,Mexican
14,456-78-9013,1,NULL,Lisa,M,Kim,Female,1993-01-25,P8901235,Valid,V66890,O-1,2023-01-25,"South Korean"
15,567-89-0124,0,5,Anthony,NULL,Jones,Male,1996-08-30,P9012346,Valid,V71901,L-1,2027-08-30,Australian
16,678-90-1235,1,NULL,Rachel,A,Nguyen,Female,1989-06-15,P0123457,Expired,V89212,J-1,2022-06-15,Vietnamese
17,789-01-2346,0,NULL,Eric,H,Smith,Male,1988-10-02,P1234568,Valid,V90523,F-1,2026-10-02,British
18,890-12-3457,1,NULL,Ananya,NULL,Desai,Female,1995-11-17,P2345679,Valid,V01276,H-1B,2025-11-17,Indian
19,901-23-4568,0,NULL,Jorge,L,Hernandez,Male,1991-07-19,P3456780,Valid,V12447,O-1,2024-07-19,Colombian
20,012-34-5679,1,NULL,Emma,T,Lee,Female,1993-09-03,P4567891,Valid,V24459,L-1,2027-09-03,"New Zealander"
